,Method,Average Price,Prices Standard Deviation,Exectution Time
0,Serial Raw Monte Carlo,1.5054661776658393,2.226164376142568,385.9375009536743
1,Serial Conditional Monte Carlo,1.5019367043006345,0.000270807,262.2353081703186
