,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,9.999974822545266,10.000131179913398,10.000026672646598,10.000061315182114,10.000097407252563,10.000167909982094,10.000169574887698,9.999929536711944,9.999856726269893,9.999733471006726,9.999979809713821,10.00022034176376,10.000396809802444,9.999887278245959,10.000004362009484,9.999778889732005,9.999847039991378,9.999849286958083,9.999541590143417,9.999529187499267
1,9.59995257272431,9.60002847302061,9.599978565734098,9.60016292538554,9.600163653514462,9.599978549229695,9.599815202583757,9.59990469388779,9.599482790812768,9.599924288892906,9.600058900951803,9.59975859804144,9.599554922417447,9.600003783930006,9.60006454266026,9.600195961734904,9.600610056833585,9.600442104511973,9.600292724017468,9.600148796743937
2,9.199790751099778,9.199980667760565,9.199750267910334,9.200097739781825,9.199887774740137,9.199883052997148,9.200326557956478,9.199912387956955,9.199986736008439,9.200013523880013,9.199949804857825,9.20003053983236,9.200149103740767,9.199500441873782,9.20004136631441,9.200395798842033,9.20002123598556,9.200070481302843,9.20001602467905,9.199822493558841
3,8.799757310942084,8.799815323889643,8.800134596770514,8.800264224307337,8.79965103911349,8.799853965277745,8.800024264682587,8.799360715428998,8.799895681644532,8.799923082004257,8.800217024812815,8.799925139606792,8.799619391908452,8.799530011101393,8.800122017105982,8.800358459341137,8.800135298832013,8.799465810439333,8.800379963970025,8.799802546433497
4,8.399961055879636,8.400215047078078,8.399648389534816,8.399982499451673,8.399928703114739,8.39980695263176,8.399830970501727,8.399730164568643,8.399686250607484,8.399976493826783,8.399894707265958,8.400549238401712,8.40027294508523,8.39998831583846,8.399482872700952,8.399975430668873,8.400805154103272,8.39992782370446,8.39995485913863,8.400421666481275
5,7.999931841717774,8.000108952345169,7.999877369774982,7.999860333082965,8.000050392534998,7.999757567423061,7.9999181927430145,8.000037500493603,7.999662276028175,8.00002699292903,8.000024164091533,8.000184547979407,7.999852980653741,8.000114832517994,8.00003538537321,7.999688061976808,8.000212619055548,7.999864625228358,8.000354516350384,8.000090159448042
6,7.599829592686318,7.599981278063446,7.599904144063721,7.599945112992512,7.600477527902493,7.59984382130539,7.600113319760634,7.600007619786823,7.600220470208771,7.600014809240701,7.6000742554585035,7.599754824176869,7.600153752647702,7.600390208783445,7.600186504335031,7.6003417003872125,7.600973275683767,7.599386540383254,7.599915870427016,7.599963516014774
7,7.199926974421441,7.200199098779397,7.200462436344518,7.19983703100466,7.200229117438437,7.199913838051682,7.200078247859388,7.199717396566865,7.200131272803623,7.200042251325617,7.199546208690939,7.199809588780415,7.199744251270054,7.199952455405058,7.199954567048285,7.1994251384995,7.2003988821250875,7.199818343600533,7.200112811096934,7.199629606297418
8,6.7998201537031235,6.800143224761072,6.799803406880678,6.800186960655397,6.7997980199196775,6.7997597841673025,6.799768582283238,6.79977162777428,6.799832753361865,6.800136637100668,6.800128897936745,6.800476552899168,6.7999470478124735,6.80015730205155,6.799569168528835,6.8000357657436785,6.800117889833622,6.800508820917288,6.80007206082428,6.79979839714682
9,6.399932670985898,6.399922587492634,6.400093663609691,6.3998429335271645,6.400164050104766,6.400118295797451,6.400191468974907,6.400031926137718,6.399669611021779,6.399711543867933,6.4003610118420475,6.399973125998936,6.399760995792336,6.399860279384889,6.399966979056298,6.399673836869818,6.400167802802167,6.399950782536153,6.399912606069843,6.400044291109886
